city,pm25,pm10,population,color_pm10,color_pm25,population_count,data_value
San Jose,8.75,18.2462782187715,1729674,green,green,2540,9.4
New York,6.625,13.8150392227842,8174962,green,green,2540,5.7
Louisville,8.15,16.9951048551986,1031932,green,green,2540,22.4
Duluth,5.1,10.6349735903697,279771,green,green,2540,8.5
San Francisco,7.5,15.6396670446613,870887,green,green,2541,6.2
Cleveland,9.7,20.2273027110953,1772872,yellow,green,2541,22.2
Kansas City,7.6,15.8481959385901,1604389,green,green,2542,21.9
Philadelphia,9.46,19.7268333656661,5585211,green,green,2542,5.2
North Charleston,7.7,16.0567248325189,97635,green,green,2542,22.6
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2543,9.8
New York,6.625,13.8150392227842,8174962,green,green,2543,15
Dallas,8.2,17.099369302163,1317929,green,green,2544,8.4
Richmond,8.5,17.7249559839495,1029581,green,green,2544,5.2
Reno,6,12.5117336357291,446831,green,green,2544,7.2
Davie,5.9,12.3032047418002,101871,green,green,2545,8
Lawton,6.8,14.1799647871596,130291,green,green,2545,15.9
Springfield,7.1,14.805551468946,646013,green,green,2545,7.7
Clarksville,7.8,16.2652537264478,260625,green,green,2546,9.8
Philadelphia,9.46,19.7268333656661,5585211,green,green,2547,16.3
Cleveland,9.7,20.2273027110953,1772872,yellow,green,2547,21.4
New York,6.625,13.8150392227842,8174962,green,green,2547,13.8
Louisville,8.15,16.9951048551986,1031932,green,green,2548,9.9
Salinas,5.7,11.8861469539426,415057,green,green,2548,14.7
Detroit,8.4,17.5164270900207,3639050,green,green,2549,16.6
New York,6.625,13.8150392227842,8174962,green,green,2549,12.6
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2549,7.5
New York,6.625,13.8150392227842,8174962,green,green,2549,4.9
Honolulu,3.1,6.46439571179334,847986,green,green,2550,12.3
New York,6.625,13.8150392227842,8174962,green,green,2550,3.6
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2551,13.7
New York,6.625,13.8150392227842,8174962,green,green,2551,11.1
New York,6.625,13.8150392227842,8174962,green,green,2552,7.3
Denver,8.17222222222222,17.041444609405,693060,green,green,2552,5.6
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2553,21.7
Iowa City,7.4,15.4311381507325,67946,green,green,2553,7.1
Denver,8.17222222222222,17.041444609405,693060,green,green,2553,4.7
Miami,7.85,16.3695181734122,5817221,green,green,2553,11
Washington,7.2,15.0140803628749,4955139,green,green,2554,10.8
Jacksonville,7.3,15.2226092568037,1171962,green,green,2554,13.6
Baton Rouge,10.3333333333333,21.5479857059777,663232,yellow,yellow,2555,11.5
New York,6.625,13.8150392227842,8174962,green,green,2555,10.5
San Francisco,7.5,15.6396670446613,870887,green,green,2556,5.3
Atlanta,10.8,22.5211205443123,5142140,yellow,yellow,2556,15.3
New York,6.625,13.8150392227842,8174962,green,green,2557,11.5
Washington,7.2,15.0140803628749,4955139,green,green,2557,14.9
Omaha,7.3,15.2226092568037,780190,green,green,2557,12.2
San Francisco,7.5,15.6396670446613,870887,green,green,2557,3.6
Philadelphia,9.46,19.7268333656661,5585211,green,green,2557,22.3
Durham,8.65,18.0377493248427,382537,green,green,2557,20
Tempe,7.35,15.3268737037681,161780,green,green,2558,4.4
New York,6.625,13.8150392227842,8174962,green,green,2559,9.5
Honolulu,3.1,6.46439571179334,847986,green,green,2560,9.9
Honolulu,3.1,6.46439571179334,847986,green,green,2560,2.1
Knoxville,10.25,21.3742116277038,646670,yellow,yellow,2560,14.6
Stockton,12.65,26.3789050819954,403353,yellow,yellow,2560,17.4
Newark,8.5,17.7249559839495,277149,green,green,2560,17.8
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2561,7.4
Cleveland,9.7,20.2273027110953,1772872,yellow,green,2562,17.2
Baltimore,8.4,17.5164270900207,2266981,green,green,2564,4.8
Lexington,8.5,17.7249559839495,18931,green,green,2564,5.6
Fresno,13.05,27.2130206577107,711610,yellow,yellow,2566,10.5
Quincy,8.8,18.3505426657359,1728,green,green,2566,9.6
New York,6.625,13.8150392227842,8174962,green,green,2567,12.1
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2567,9.2
Dallas,8.2,17.099369302163,1317929,green,green,2568,21.2
Detroit,8.4,17.5164270900207,3639050,green,green,2569,22.6
Fort Wayne,8.36666666666667,17.4469174587111,326960,green,green,2569,7.4
Honolulu,3.1,6.46439571179334,847986,green,green,2569,8.8
Bloomington,6.7,13.9714358932308,159549,green,green,2570,6.4
Dallas,8.2,17.099369302163,1317929,green,green,2570,15
Phoenix,8.68,18.1003079930214,1447624,green,green,2570,9.3
Honolulu,3.1,6.46439571179334,847986,green,green,2570,13.8
Anchorage,5.65,11.7818825069782,380821,green,green,2570,5.3
New York,6.625,13.8150392227842,8174962,green,green,2571,12.9
Baltimore,8.4,17.5164270900207,2266981,green,green,2571,3.9
Detroit,8.4,17.5164270900207,3639050,green,green,2571,5.7
Philadelphia,9.46,19.7268333656661,5585211,green,green,2571,12.5
Dallas,8.2,17.099369302163,1317929,green,green,2572,15.5
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2573,5.6
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2574,12.4
Omaha,7.3,15.2226092568037,780190,green,green,2574,7.9
Providence,7.8,16.2652537264478,1196451,green,green,2575,9.8
New York,6.625,13.8150392227842,8174962,green,green,2575,9.4
Bloomington,6.7,13.9714358932308,159549,green,green,2575,11.3
Miami,7.85,16.3695181734122,5817221,green,green,2576,15.5
Kansas City,7.6,15.8481959385901,1604389,green,green,2576,11.2
Reno,6,12.5117336357291,446831,green,green,2577,9.9
Richmond,8.5,17.7249559839495,1029581,green,green,2577,8.6
Omaha,7.3,15.2226092568037,780190,green,green,2577,2.1
Albuquerque,5,10.4264446964409,826787,green,green,2577,8.8
New York,6.625,13.8150392227842,8174962,green,green,2577,10.3
Phoenix,8.68,18.1003079930214,1447624,green,green,2578,6.5
New York,6.625,13.8150392227842,8174962,green,green,2578,11.1
Nashville,9.1,18.9761293475224,969587,green,green,2578,10.7
Vallejo,7.95,16.578047067341,115940,green,green,2578,8.3
Detroit,8.4,17.5164270900207,3639050,green,green,2578,17
St. Paul,6.65,13.8671714462664,285063,green,green,2579,5.3
New York,6.625,13.8150392227842,8174962,green,green,2579,13
New York,6.625,13.8150392227842,8174962,green,green,2579,10.2
Stockton,12.65,26.3789050819954,403353,yellow,yellow,2579,11.4
Louisville,8.15,16.9951048551986,1031932,green,green,2580,12.7
Rochester,6.1,12.7202625296579,732692,green,green,2580,13.6
Cleveland,9.7,20.2273027110953,1772872,yellow,green,2580,22.2
Albany,8.65,18.0377493248427,613043,green,green,2581,8.7
New York,6.625,13.8150392227842,8174962,green,green,2581,9.1
Salt Lake City,8.71666666666667,18.1767685874619,1095726,green,green,2581,5.1
Washington,7.2,15.0140803628749,4955139,green,green,2582,10.8
New York,6.625,13.8150392227842,8174962,green,green,2582,16.1
New York,6.625,13.8150392227842,8174962,green,green,2582,5.3
Seattle,5.975,12.4596014122468,3248724,green,green,2583,6.7
Denver,8.17222222222222,17.041444609405,693060,green,green,2583,3.9
