city,pm25,pm10,population,color_pm10,color_pm25,population_count,data_value
Philadelphia,9.46,19.7268333656661,5585211,green,green,2659,4.5
St. Joseph,7.8,16.2652537264478,127329,green,green,2660,10.9
New York,6.625,13.8150392227842,8174962,green,green,2660,11.1
Omaha,7.3,15.2226092568037,780190,green,green,2661,7.5
Detroit,8.4,17.5164270900207,3639050,green,green,2661,20.9
New York,6.625,13.8150392227842,8174962,green,green,2661,10.6
New York,6.625,13.8150392227842,8174962,green,green,2662,8.6
Anaheim,9.4,19.6017160293089,351043,green,green,2662,9.1
Phoenix,8.68,18.1003079930214,1447624,green,green,2663,18.7
Newark,8.5,17.7249559839495,277149,green,green,2664,11.5
Knoxville,10.25,21.3742116277038,646670,yellow,yellow,2664,16.4
Sparks,7,14.5970225750172,90258,green,green,2665,5.6
Minneapolis,7.35,15.3268737037681,382603,green,green,2665,11.2
Louisville,8.15,16.9951048551986,1031932,green,green,2665,9.4
Phoenix,8.68,18.1003079930214,1447624,green,green,2666,13.6
Albuquerque,5,10.4264446964409,826787,green,green,2666,8
Omaha,7.3,15.2226092568037,780190,green,green,2666,7.9
Oakland,7.83333333333333,16.3347633577574,420005,green,green,2667,7.2
Clovis,12.2,25.4405250593157,95631,yellow,yellow,2667,6.9
Honolulu,3.1,6.46439571179334,847986,green,green,2668,12.9
Wilmington,8.9,18.5590715596648,254884,green,green,2668,12
Nashville,9.1,18.9761293475224,969587,green,green,2668,14.1
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2669,8
New York,6.625,13.8150392227842,8174962,green,green,2670,9.7
